rater_id,reference_title,soft_attribute,less_than,about_as,more_than
1,Forrest Gump (1994),action filled,,"[""Good Will Hunting (1997)"",""Ghost (1990)"",""Snow White and the Seven Dwarfs (1937)""]","[""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""Pulp Fiction (1994)"",""Aliens (1986)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Toy Story 2 (1999)"",""The Silence of the Lambs (1991)"",""The Lion King (1994)""]"
1,The Silence of the Lambs (1991),animated,,"[""Good Will Hunting (1997)"",""Pulp Fiction (1994)"",""Home Alone (1990)"",""Jurassic Park (1993)""]","[""Alien (1979)"",""E.T. the Extra-Terrestrial (1982)"",""Snow White and the Seven Dwarfs (1937)"",""Monsters, Inc. (2001)"",""Spider-Man (2002)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)""]"
1,Jurassic Park (1993),artsy,"[""Monsters, Inc. (2001)"",""Home Alone (1990)"",""Aliens (1986)"",""Toy Story 2 (1999)"",""The Incredibles (2004)""]","[""The Sixth Sense (1999)"",""Alien (1979)""]","[""The Lion King (1994)"",""Pulp Fiction (1994)"",""The Silence of the Lambs (1991)""]"
1,The Incredibles (2004),believable,"[""Monsters, Inc. (2001)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Alien (1979)"",""Aliens (1986)"",""Snow White and the Seven Dwarfs (1937)"",""Spider-Man (2002)""]",,"[""The Silence of the Lambs (1991)"",""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""Pulp Fiction (1994)"",""Good Will Hunting (1997)""]"
1,The Incredibles (2004),big budget,"[""The Sixth Sense (1999)"",""Snow White and the Seven Dwarfs (1937)"",""Forrest Gump (1994)"",""Pulp Fiction (1994)"",""Good Will Hunting (1997)""]","[""Chicken Run (2000)"",""Schindler's List (1993)"",""Spider-Man (2002)""]","[""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""Aliens (1986)""]"
1,The Lion King (1994),bizarre,"[""Forrest Gump (1994)"",""Home Alone (1990)"",""Schindler's List (1993)"",""Good Will Hunting (1997)""]","[""Snow White and the Seven Dwarfs (1937)"",""Toy Story 2 (1999)"",""Spider-Man (2002)""]","[""Ghost (1990)"",""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"",""The Silence of the Lambs (1991)""]"
1,Schindler's List (1993),boring,,,"[""Alien (1979)"",""Spider-Man (2002)"",""Toy Story 2 (1999)"",""E.T. the Extra-Terrestrial (1982)"",""Home Alone (1990)"",""Forrest Gump (1994)"",""Snow White and the Seven Dwarfs (1937)"",""The Incredibles (2004)"",""The Lion King (1994)"",""Chicken Run (2000)""]"
1,The Incredibles (2004),budget,"[""Ghost (1990)"",""Home Alone (1990)"",""Forrest Gump (1994)"",""The Sixth Sense (1999)""]","[""Chicken Run (2000)"",""E.T. the Extra-Terrestrial (1982)"",""Spider-Man (2002)"",""The Lion King (1994)"",""Aliens (1986)""]","[""Jurassic Park (1993)""]"
1,Home Alone (1990),cartoonish,"[""Forrest Gump (1994)"",""Good Will Hunting (1997)"",""The Silence of the Lambs (1991)"",""Pulp Fiction (1994)""]",,"[""Snow White and the Seven Dwarfs (1937)"",""Toy Story 2 (1999)"",""The Lion King (1994)"",""Monsters, Inc. (2001)"",""The Sixth Sense (1999)"",""Chicken Run (2000)""]"
1,Forrest Gump (1994),cheesy,"[""Schindler's List (1993)"",""The Sixth Sense (1999)""]","[""Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"",""The Incredibles (2004)"",""Home Alone (1990)"",""Pulp Fiction (1994)"",""Snow White and the Seven Dwarfs (1937)"",""Toy Story 2 (1999)"",""Jurassic Park (1993)"",""The Lion King (1994)""]",
